stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
ROD_77106,,Balenyà - Els Hostalets,,,,,,,,41.814938,2.233315
ROD_77107,,Balenyà - Tona - Seva,,,,,,,,41.841868,2.247519
ROD_77109,,Vic,,,,,,,,41.931034,2.248904
ROD_77110,,Manlleu,,,,,,,,41.999879695955975,2.2693312763643645
ROD_77111,,Torelló,,,,,,,,42.05201132716354,2.2599898159245244
ROD_77112,,Borgonyà,,,,,,,,42.0644,2.24278
ROD_77113,,Sant Quirze de Besora,,,,,,,,42.104825,2.217712
ROD_77114,,La Farga de Bebié,,,,,,,,42.130144,2.203891
ROD_77200,,Ripoll,,,,,,,,42.195921,2.196161
ROD_77301,,Campdevànol,,,,,,,,42.221805,2.165672
ROD_77303,,Ribes de Freser,,,,,,,,42.298685,2.165359
ROD_77304,,Planoles,,,,,,,,42.314338,2.099769
ROD_77305,,Toses,,,,,,,,42.321018,2.015269
ROD_77306,,La Molina,,,,,,,,42.344525,1.955983
ROD_77307,,Urtx - Alp,,,,,,,,42.376863,1.896769
ROD_77309,,Puigcerdà,,,,,,,,42.42950640302019,1.9247664103280346
ROD_77310,,La Tor de Querol - Enveig,,,,,,,,42.45905958996156,1.904488105666776
ROD_78600,,Manresa,,,,,,,,41.720393,1.827185
ROD_78604,,Sant Vicenç de Castellet,,,,,,,,41.668851,1.862649
ROD_78605,,Castellbell i el Vilar - Monistrol de Montserrat,,,,,,,,41.6284,1.86855
ROD_78606,,Vacarisses,,,,,,,,41.601914634330925,1.8940586752630881
ROD_78607,,Vacarisses - Torreblanca,,,,,,,,41.586759,1.916921
ROD_78609,,Viladecavalls,,,,,,,,41.563853,1.957144
ROD_78610,,Sant Miquel de Gonteres - Viladecavalls,,,,,,,,41.568855,1.974213
ROD_78700,,Terrassa Estació del Nord,,,,,,,,41.56979625772417,2.0142890956683073
ROD_78703,,Sabadell Sud,,,,,,,,41.528716,2.105395
ROD_78704,,Sabadell Centre,,,,,,,,41.546390750056105,2.1156653143231194
ROD_78705,,Barberà del Vallès,,,,,,,,41.513615,2.118535
ROD_78706,,Cerdanyola del Vallès,,,,,,,,41.492627,2.14743
ROD_78707,,Montcada i Reixac Santa Maria,,,,,,,,41.481154,2.167067
ROD_78708,,Montcada i Reixac Manresa,,,,,,,,41.483951,2.185351
ROD_78709,,Sabadell Nord,,,,,,,,41.562401,2.09591
ROD_78710,,Terrassa Est,,,,,,,,41.567515,2.039406
ROD_78800,,Montcada Bifurcació,,,,,,,,41.46979136586285,2.180012003960765
ROD_78801,,Torre del Baró | Vallbona,,,,,,,,41.46161880526583,2.180379251193196
ROD_78802,, Fabra i Puig,,,,,,,,41.430851,2.183104
ROD_78806,,La Sagrera Meridiana,,,,,,,,41.421958,2.187115
ROD_79004,,Sant Andreu,,,,,,,,41.436083,2.193097
ROD_79005,,Montcada i Reixac,,,,,,,,41.484238001038605,2.1880935010186264
ROD_79006,,Mollet - Sant Fost,,,,,,,,41.533579,2.21757
ROD_79007,,Montmeló,,,,,,,,41.54987451405538,2.2458008314970224
ROD_79011,,La Llagosta,,,,,,,,41.510473,2.199768
ROD_79100,,Granollers Centre,,,,,,,,41.599705,2.291087
ROD_79101,,Cardedeu,,,,,,,,41.636719,2.356203
ROD_79102,,Llinars del Vallès,,,,,,,,41.638096,2.404551
ROD_79103,,Palautordera,,,,,,,,41.671557,2.453814
ROD_79104,,Sant Celoni,,,,,,,,41.685877,2.490554
ROD_79105,,Gualba,,,,,,,,41.718171,2.538617
ROD_79106,,Riells i Viabrea - Breda,,,,,,,,41.72633986993202,2.5689039653258994
ROD_79107,,Hostalric,,,,,,,,41.747722,2.631483
ROD_79109,,Les Franqueses - Granollers Nord,,,,,,,,41.617129,2.294434
ROD_79400,,Barcelona Estació de França,,,,,,,,41.384535,2.18519
